citation,year,research_question,location,time_period,data_source,sample,sample_size,method,identification,explanatory,explanatory_measure,outcome_measure,controls,key_results,limitations,theme,field,related_articles,comments
"Currie, Janet, and Maya Rossin-Slater. 2013. “Weathering the Storm: Hurricanes and Birth Outcomes.” Journal of Health Economics 32 (3): 487–503. https://doi.org/10.1016/j.jhealeco.2013.01.004.",2013,What effects do severe hurricanes (as a proxy for high stress) have on birth outcomes?,Texas,1996-2008,,"1) Mother’s demographics: age, race, education, marital status, date of birth, name, residential location. 2) Child data: birth weight and gestational age, sex, birth order 3) Health data: method of delivery, complications of labor and delivery, risk factors for the pregnancy, maternal behaviors i.e. (prenatal care, smoking).","Subject data: (n=4,237,494)","Authors compared the birth health outcomes from mothers who lived in the path of the hurricane to those who lived further away, controlling for premature births and other confounders (p. 488).",Instrumental variables,,"Data on storms and hurricanes: storm/hurricane dates and name, total damages caused in dollars, total number of deaths, location information on the coordinates of the storm path, storm wind speed, and storm type for each day of the storm.",Health issues at birth,"Premature births, mother’s race, age, education, marital status, and number of children, as well as conception year and conception month fixed effects.","1) Mothers residing within 30km of the hurricane path during their 3rd trimester are 60% more likely to have a newborn with abnormal conditions and are 30% more likely to have complications during labor and/or delivery. 2)  Hurricane exposure increases the probability that the child required assisted ventilation for over 30 minutes by 1.5% if in the 1st trimester, and 1.3% if in the 3rd trimester (data from table on p. 497). 3)  Hurricane exposure in all three trimesters is associated with an increased probability of Meconium aspiration syndrome, that often has serious long-term consequences for the newborn. The highest rate was a 3.7% likelihood increase if exposed in the 3rd trimester. (data from table on p. 497). 4) Estimates of the effects of hurricanes on babies did not differ significantly by socioeconomic status, race, gender, or birth order.","None identified. The authors address any limitation I could identify, in the ""Robustness"" section, on page 498.",Impact on child/infant health,Public health; economics,,"This paper spends a larger amount of time than most other studies explaining how they systematically tested the influence of many potentially omitted variables in order to hone in on the direct impact of the hurricane on mothers and birth health outcomes.; The authors clarify: ""There are many possible ways for hurricane exposure to affect pregnancy outcomes... we believe we have ruled out some important potential pathways including changes to migration, medical care, and maternal behavior. Therefore, while stress is a “residual explanation” in our context, we believe that our results may reflect the effects of stress itself during pregnancy"" (p. 488). / Very thorough"
"Currie, Janet, and Reed Walker. 2011. “Traffic Congestion and Infant Health: Evidence from E-ZPass.” American Economic Journal: Applied Economics 3 (1): 65–90. https://doi.org/10.1257/app.3.1.65.",2011,What health impacts did the reduction of automobile emissions associated with the implementation of automatic electronic tolling (E-ZPass) have on infant premature birth and low birth rates nearby? How were nearby housing prices impacted by the implementation of E-ZPass?,New Jersey (1997-2002) and Pennsylvania (1994-2003),,"Natality records for all children born in NJ (1994-2003) and PA (1997-2002). Data included: health at birth (weight, gestation time, and more), background information about the mother (race, education, name, birthdate, and marital status), and mother’s address. Only records for babies born to mothers residing near toll plazas were utilized (n=29,677).; Housing prices records: from New Jersey, 1989-2009.",,,Divide mothers into subgroups based off of distance from toll plazas. Compare their premature birth rates and low birth weight incidence from before and after the implementation of E-ZPass in 1999-2000. Compare housing prices at different distances from the toll plazas before and after E-ZPass implementation to identify any short-term impact internalized into the housing market.,Natural experiment; Panel,TSP; NO2; CO,"To gauge level of pollution exposure, mothers were divided into three groups: 1) Those living within 2 km of a toll plaza. 2) Those living within 3 km of a major highway, but between 2 -10 km of a toll plaza. 3) Those who lived 10+ km from a toll plaza.; Note: Those living near highways are presumed to be exposed to increased levels of TSPs, CO, and NO2.",Gestation time and birth weight,"Distance from a busy roadway, birth year, birth month, mother fixed effects, zip code fixed effects, municipality fixed effects (for housing prices only).","1) The introduction of E-ZPass reduced premature birth rates by 6.7-9.1% for babies born nearby the toll plazas. This corresponds to averting 255 premature births out of the observed population, at an estimated total benefit of $9.8-13.2 million. 2) The introduction of E-ZPass reduced low birth weight incidence by 8.5-11.3% for babies born nearby the toll plazas. This corresponds to averting 275 premature births out of the observed population. 3) Policies to curb traffic congestion often underestimate the true benefits as they fail to also calculate the health benefits of the associated pollution reduction. The authors estimated that nationwide, reducing infant exposure to traffic congestion could be valued at $444 million per year. 4) No immediate significant impacts were identified on housing prices. This indicates that it may take time for any eventual impacts effects to be felt.","1) The study does not utilize pollution monitors to track the actual levels near each toll plaza due to there being only one monitor located near a toll plaza, out of 98 toll plazas included in the study. 2) Also, while the authors' findings are robust, they do not differentiate between plazas that had larger or smaller pollution reductions due to reduced traffic. While the authors' findings appear to be correct, their estimated levels of impact may not be as accurate as if monitors were utilized.",Impact on child/infant health,Public health; economics,Chay and Greenstone (2005),The author's finding of significant benefit gained from traffic congestion reduction is further strengthened by the finding that housing prices did not immediately respond to the change. This suggests that the estimated birth effect findings were not driven by socio-demographic changes near the toll plazas.
"Currie, Janet, Matthew Neidell, and Johannes F. Schmieder. 2009. “Air Pollution and Infant Health: Lessons from New Jersey.” Journal of Health Economics 28 (3): 688–703. https://doi.org/10.1016/j.jhealeco.2009.02.001.",2009,How does pollution impact infant health at birth and infant mortality rates conditional on health at birth?,New Jersey,1989-2003,"Data: Infant births and deaths in New Jersey from 1989-2003 from the New Jersey Department of Health. The birth records used contained detailed information about babies’ health and also about their mothers, including socioeconomic and health details, ethnicity, and address",,,Mothers and babies were matched with the closest sensors and corresponding data matched.,Panel,PM10; O3; CO,From the New Jersey Department of Environmental Protection Bureau of Air Monitoring; 8-hour maximums of carbon monoxide (CO) and Ozone (O3); Daily maximums for PM10; Mothers and infants who lived within 10km of a monitor were matched the corresponding pollution data.; Note: Most sensors did not measure all three pollutants.,Infant birth weight and infant mortality rates conditional on health at birth.,"Weather, pollution monitor location.; Mother's: age, education level, marital status, race and smoking habits.; Child's: birth order, if it was a multiple birth, sex.","1) Elevated CO exposure has negative effects on infant health both in utero and after birth.; Impacts: reduced birth weight, shortened gestation time, and increase the probability of infant death. 2) A one-unit decrease in CO saves approximately 18 lives per 100,000 births (2.5% reduction in the probability of infant death). In contrast, 1 unit increase in mean CO during the 3rd trimester increases the risk of low birth weight by 8% 3) Infants of smokers are even more susceptible to the negative effects of CO exposure. Infants of smokers were also found to be susceptible to reduced birth weight and shorter gestation time as caused by PM10 and O3 exposure, though the authors noted that they were less confident in these results. 4) Authors compared the data of children born in 1989 and 2003, during which time CO levels across the country declined. The pollution decline is estimated to have averted nearly 450 infant deaths nationwide in 2003, at an estimated annual economic savings of $2.2 billion.","The authors note that the study’s findings may actually be underestimated. The data utilized was only from live births and it is likely, given the strong detrimental link identified between CO and infant health, that there were stillborn babies, as a result of pollution exposure, who were therefore not included in the data.",Impact on child/infant health,Public health; economics,Currie and Neidell (2005),"The study conducted frequently highlights the fact that its contribution to the literature is its use of location-specific data. Additionally, the study is quite vast, spanning a populous US state over the course of 14 years. Furthermore, the study validates the theory that close proximity of subjects to air monitors (<10km) is critical to accurately gauge the impact of pollution on health."
"Currie, Janet, Eric A Hanushek, E Megan Kahn, Matthew Neidell, and Steven G Rivkin. 2009. “Does Pollution Increase School Absences?” The Review of Economics and Statistics 91 (4): 682–94.",2009,What is the relationship between pollution exposure and school absences (used as a proxy for child health issues)?,Texas,1996-2001,"Data: Attendance records, in 6-week attendance periods, from schools in Texas located within 10 miles of pollution monitors, from the largest school districts.; Record also included: data on students’ gender, family income, and ethnicity.",,"n=1,512 schools in the sample, accounting for ~40% of students in public schools, grades 1-8 (totaling over 12 million students).",Note: Absences can be used as a proxy for child health that is more sensitive to pollution-impacted diseases than medical records. Often times pollution’s effects are not severe enough for hospitalization but can keep children out of school.; Authors compared the mean absence rates during a given attendance period with the corresponding percentage of days each pollutant (detected by the nearest monitor) exceeds 75% of the EPA threshold.,Panel,PM10; CO; O3,"Hourly readings for CO, ozone, and PM10. Only schools located within 10 miles of a monitor were included in the study.",Attendance records,"Stable characteristics of schools, years, attendance periods, school-specific variations in particular years, school-specific patterns, systematic variations in particular years and attendance periods, socioeconomic variables, demographic makeup of schools, precipitation, and temperature.","1) An additional day with CO levels between 75% and 100% of the EPA Air Quality Standard (AQS) threshold increases absenteeism by 5%. An additional day with a CO level above the AQS increases absenteeism by nearly 9%. (Note: the AQS for CO is 9 ppm) 2) ""Only PM10 level between 50% and 75% of the EPA threshold has a statistically significant effect on absences, while higher levels do not, suggesting a possible non-monotonic relationship between PM10 and absences"" (p. 691). 3) Authors estimate that absences decreased by 0.8% in 2000-2001 due to reduced levels of pollution in the state. This is significant given that the Texas-wide baseline absence rate was 3.58%.","The use of school-year attendance records means that the summer pollution levels cannot be used. Ozone is particularly high in the summer due to high temperatures. Authors noted that in Texas, temperatures peak in late-August and September, when children are back in school.",Impact on child/infant health,Public health; economics,Chay and Greenstone (2003); Currie and Neidell (2005),"The authors note that they cannot distinguish between absences due to health effects of pollution and absences caused by avoidance behavior. While this could lead to a problem in interpreting the findings, the authors also note that ""to the extent that children miss school in order to avoid pollution, they and their parents still incur a cost, and it is useful to capture this type of avoidance behavior as well as the direct effect of pollution on illness in assessing the total costs of pollution"" (p. 684). / This study examines pollution impacts on students that are of an intermediate level of severity. Most other studies either examine severe impacts, hospitalization, or less severe, a decline in test scores."
"Currie, Janet, Joshua Graff Zivin, Jamie Mullins, and Matthew Neidell. 2014. “What Do We Know About Short- and Long-Term Effects of Early-Life Exposure to Pollution?” Annual Review of Resource Economics 6 (1): 217–47. https://doi.org/10.1146/annurev-resource- 100913-012610.",2014,A literature review of papers examining the question: Does early life exposure to pollution have long-term impacts in life?,,Papers reviewed were published 1995-2013,,,,"Each of the 31 papers reviewed utilize ""quasi-experimental techniques to develop causal estimates of the effects of early-life pollution.""; The content of papers included: Impact of air pollution on infant health (in developed and developing countries), impact on older children, and long-term outcomes (economic and academic).",,,Papers reviewed examined only air pollution because data for it is relatively easy to measure and therefore available.,,,"General trends/findings from reviewed papers: 1) Many papers attribute health impacts to a specific pollutant(s). However, many pollutants are highly correlated and may come from the same sources. 2) Data that allow for the examination of the link between adult achievement with childhood pollution exposure are rare. Natural experiments utilizing data from before and after large environmental shocks are one way of examining this phenomenon. 3) Avoidance behavior influences the measured impacts of pollution exposure. Even when using an environmental shock as a natural experiment, the passage of time will complicate measurement. 4) Currie et al. develop an econometric model for measuring the compounding impacts of pollution early in life on later-life outcomes (p. 219).",,Impact on child/infant and adult health and cognition,Public health; economics,,The authors posit that the findings of this research lead us to ask:; -Are there threshold levels at which pollutants are safe for the young?; -What factors mitigate the impacts of pollution exposure?; -Can we provide further proof that early-life pollutant exposure impacts both health and long-term economic outcomes? / A lit. review with 31 articles reviewed.
"Deryugina, Tatyana, Garth Heutel, Nolan Miller, David Molitor, and Julian Reif. 2016. “The Mortality and Medical Costs of Air Pollution: Evidence from Changes in Wind Direction.” w22796. Cambridge, MA: National Bureau of Economic Research. https://doi.org/10.3386/w22796.",2016,"What is the estimated effect of acute PM 2.5 exposure on elderly mortality rate, life-years lost, hospitalizations, and medical costs?",US,1997-2011,"Daily county-level measures of hospital utilization (inpatient and outpatient) and accompanying costs for elderly individuals. This data is gathered from Medicare records which include 97% of all US elderly (aged 65-100 years). Data includes: illness details, dates of death, age, sex, and county of residence.",,,"Use county-level daily fluctuations in PM2.5 exposure to corresponding 3-day mortality rates (deaths/million Medicare beneficiaries). The correlation was used to evaluate the magnitude of impact by PM2.5 exposure on life-years lost (i.e. the value of the years of life lost by those who died & the years of life shaved off of the total lifespan of those who were hospitalized as a result of exposure, but did not die.)",OLS; Instrumental variables,PM2.5; NO2; O3; SO2; CO,"Monitors measuring hourly levels of PM2.5, O3, CO, SO2, NO2. (The study focuses primarily on PM2.5); Monitors also measured daily county-level wind direction.","Mortality rate, life-years lost.","Temperature, precipitation, county-level fixed effects (geographic etc.) variation in pollution transport based off of monitor placement.","1) A 1 μg/m3 increase in daily PM 2.5 causes: a significant increase in ER inpatient costs (over $15,000 per million beneficiaries); an increase in total ER visits, including visits that do not result in a hospital admission, by 2.29 per million beneficiaries (p.23). 2) OLS estimates were much lower than for IV, indicating that classical biases were not the only influencing factors (p. 23; findings comparison on p. 42). 3) The nationwide reduction in PM2.5 between 1999-2001 saved ~$15 billion, annually, in mortality costs amongst elderly. 4) Authors measured the life-years lost with increased PM2.5 levels, by incorporating variables such as age, gender, and health history details. With a 1 μg/m3 increase in PM2.5: 11.3 life-years per million people with <1 year of life expectancy are lost. 5) Failure to control for age, gender, and health history when calculating the social burden of life-years lost will cause a tendency to overstate the estimate by a margin of approimately 46%. This is the case in many other studies' estimates.",Authors note that different counties' pollution monitor readings may not adequately measure the average pollution exposure due to the sparse placement of monitors. This is a challenge for all similar studies not setting up their own monitors. (Note: Authors describe their method of overcoming this on p. 14).,Impact on elderly health,Public health; economics,Currie and Neidell (2005); Currie et al. (2009); Chay et al. (2003); Chay and Greenstone 2003),"1) Authors cite many articles utilizing wind direction changes to estimate the impact of pollution (p.5). 2) Contains a good description of PM2.5: characteristics, makeup, origins, regulation, etc. (p. 6). 3) Vast data sets used (97% of US elderly population). 4) Utilized both OLS and IV methods. OLS estimates were consistently lower than IV, indicating that classical biases were not the only biasing factors (p. 23; comparison of OLS and IV on p. 42). 5) This is the first experiment to use high-frequency measurements in order to capture both short-term and delayed (3-day) impacts of pollution. / *Highly relevant paper*"
"Ebenstein, Avraham, Victor Lavy, and Sefi Roth. 2016. “The Long-Run Economic Consequences of High-Stakes Examinations: Evidence from Transitory Variation in Pollution.” American Economic Journal: Applied Economics 8 (4): 36–65. https://doi.org/10.1257/app.20150213.",2016,"Does PM2.5 exposure decrease performance on standardized tests? How does this impact individual trajectory and earnings, as well as the economy as a whole?",Israel,2000-2010,"Data: 1) Israeli national matriculation exam information from 2000-2002. This included: scores, detailed demographic information for each test taker, and exact testing location. 2) Corresponding data on post-secondary education and earnings of the test takers (youngest cohort would have been age 28 at the time of the study)",,"(sample size: 400,000)",Individual test-taker data and pollution data from the same test days and sensors located within 2.5km of the testing sites were matched. Records of the students' eventual post-secondary education and earnings trajectory are also matched with their test scores and the corresponding air quality levels at their test sites on the testing days.,Panel,PM2.5,"Israeli Ministry of Environmental Protection PM2.5 pollution data, measured at 5-minute intervals and averaged over the duration of each day. These were then converted to Air Quality Index (AQI) units, following U.S. EPA standards. Test taker scores and information were paired with air quality monitoring station data, located up to 2.5km away from testing locations.",Standardized high school matriculation test scores,"Temperature, relative humidity, parental education level, sex.","1) Short-term cognitive functioning may be reduced by PM2.5 exposure. An increase of 10 units of PM2.5 (AQI) raises the probability of failure by 2% and lowers matriculation certification rates by 3%. 2) The decreased scores were identified as the beginning of a chain of events leading to decreased national economic efficiency and on the individual level, decreased wages over the lifetime of impacted test takers.",Solidly laid out study.,Impact on teenage cognition,Public health; economics,Neidell (2004),"Authors were vigilant in avoiding misattribution of the impact of pollution. They tested correlation identified between PM2.5 pollution and decreased test scores, by running placebo tests utilizing pollution data from days other than testing days. They found that the placebo pollution dates did not impact the testing scores in the trial, thereby lending further credence to their overall findings.; Another positive indicator of accuracy in the study was that the pollution data gathered was more detailed than in many other comparable studies and the sensors were located only 2.5km away from testing sites. / Contains many similar elements in common with with your proposed study in Nairobi during testing days."
"Freire, Carmen, Rosa Ramos, Raquel Puertas, Maria-Jose Lopez-Espinosa, Jordi Julvez, Inmaculada Aguilera, Francisco Cruz, Mariana-Fatima Fernandez, Jordi Sunyer, and Nicolas Olea. 2010. “Association of Traffic-Related Air Pollution with Cognitive Development in Children.” Journal of Epidemiology & Community Health 64 (3): 223–28. https://doi.org/10.1136/jech.2008.084574.",2010,What is the relationship between NO2 (a surrogate for traffic pollution) exposure and children's motor and cognitive abilities?,"Granada, Spain",2005-2006,,"Data: male children, age 4 years, were selected from a larger population-based cohort study on prenatal environmental exposures in relation to growth, development and health from early fetal life. Data gathered included child's home location and type (urban, metropolitan, suburban, or rural), child's medical information, parental sociodemographic information.; Each child was tested with the McCarthy Scale of Children’s Abilities (MSCA) standardized test, to evaluate their quantitative, verbal, memory, perceptual performance, and motor abilities.",n=210,A population-based birth cohort was followed from the age of 4 years for 1 year. Cognitive measures and estimated levels of NO2 exposure were taken in order to evaluate any relation between the two.,Panel,NO2,"Home outdoor NO2 levels were estimated as a proxy of individual exposure to traffic-related air pollution.; 26 NO2 monitoring sites were located in the urban area and 50 monitors were located in the centers of the non-urban areas.; Sampling was done in two 7-day periods (Nov. 2005 and Sept. 2006) during the same year as the evaluation of the children. Using a ""land-use regression"" model, the authors estimated the exposure for urban vs. rural dwelling children and assigned an exposure value accordingly.","McCarthy Scale of Children’s Abilities (MSCA) standardized test for quantitative, verbal, memory, perceptual performance, and motor abilities.","Sociodemographic covariates: place of residence, maternal and paternal education, maternal occupational status, parity, duration of breastfeeding, type of delivery, marital status, smoking during pregnancy, and age of mothers and children.; Physical covariates: birth weight and length, gestational age.; Psychological covariates: parents’ mental health scale scores and parent-to-infant attachment scale scores.","1) Children exposed to higher NO2 levels (>24.75 μg/m3) demonstrated a 4.19 point decrease in their MSCA general cognitive score. Children exposed to lower NO2 levels (15.40-24.75 μg/m3) showed a lower, 1.07 point decrease. This was not found to be statistically significant. 2) In the different subsections of the MSCA, children exposed to >24.75 μg/m3 NO2 had lower scores by: quantitative, 6.71 points; working memory, 7.37; gross motor areas 8.61 points. The identified associations were not statistically significant, except for with gross motor areas.","The studied area, Granada, Spain has limited industrial activity, and as such, the predicted NO2 likely originates from traffic pollution. While this allows the authors to identify the source of the NO2, it also limits their ability to speak about the impacts of pollution from a diverse array of sources, as is the case in many polluted areas.; Similarly, none of the predicted NO2 concentrations exceeded the European Commission annual mean limit value of 40 μg/m3. This may be a part of the cause of the relatively weak associations identified in the studied.",Impact on child cognition,Public health; science,Calderón-Garcidueñas et al. (2008); Suglia et al. (2008),"1) This paper studies both rural and urban settings for a regional area. 2) This paper studies pollution impacts on children at what are considered to be ""safe"" levels. This may be a part of the cause of the relatively weak associations identified in the studied. 3) Authors note that ""deficits in gross motor skills may... be detectable before other deficits in cognitive function."" As such they not that they are in the process of conducting a  psychological follow-up of these children to test this theory (p. 226). / This paper studies both rural and urban settings, something rare amongst regionally focused similar studies."
"Grainger, Corbett, Andrew Schreiber, and Wonjun Chang. 2017. “How States Comply with Federal Regulations: Strategic Ambient Pollution Monitoring.” In . UC Santa Barbara.",2017,How are states perversely incentivized with regards to strategically placing monitors in order to be in compliance with the Clean Air Act and its Amendments (CAAA)? How does this strategic monitor placement impact the pollution levels observed and what downstream impacts does this have?,United States,2005-2012,"Data: Nation-wide Air Quality System (AQS) data from the EPA (~1 million monitors). The data is derived from the ambient air pollution monitors used to determine CAAA compliance across the USA. Monitors measure criteria pollutants and have varying measurement objectives (local or regional pollution levels). Local regulators are charged with the placement of sensors for this national law.; 2 sets of satellite data, from NASA and a ""Berkley High Resolution"" set, are also used.; Controls: From the American Community Survey, 2006-2010 (see ""confounders measured"").",,,"Satellite data, which is assumed to be unbiased, as placement is not a factor, is used to evaluate whether newly sited ground monitors are strategically placed in order to influence the perceived levels of pollution they are intended to represent. Measurements were conducted using z-scores, where more negative scores indicated pollution avoidance and more positive scores indicated targeting polluted areas.",?,NO2; O3,"Ground monitor data: Hourly measurements of ozone. The current U.S. National Ambient Air Quality Standards (NAAQS) level for O3 is 0.075ppm measured using annual fourth-highest daily maximum 8-hour concentrations averaged over three years (p. 11-12).; Satellite data: High-resolution data set for NO2, Relatively lower resolution dataset for criteria pollutants (p. 13).",,"At the census tract level: average poverty rate, median age, median rent, population levels, race, percent small children (under age 5), number of point pollution sources present; Economic activity level (at the level of satellite data grid cell).","1) New monitors placed in marginal counties, those that are close to the legal limit of pollution, tend to be placed in relatively clean areas. The z-score is -0.231 and is significant at the 0.1% level. 2) New monitors in nonattainment areas (not in compliance with the CAAA limits) are often placed closer to pollution sources to highlight a potential reason for non-compliance (this point was less clear to me). (I could not identify the relevant z-score). 3) Strategic placement of monitors produces inaccurate data which impacts all who rely on it: econometric studies, socioeconomically disenfranchised populations who would benefit from CAAA protection.","Satellite pollution data and ground data are measured in mismatched units which require outside information in order to compare. In the text, the authors describe their workaround solution to this issue: ""The satellite data are measured as column densities (molecules/cm2), while ground level pollution is monitored in either parts per billion (ppb) for NO2 or parts per million (ppm) for ozone. Converting the column densities to ground level estimates would require the use of an atmospheric model which considers things like average meteorology, topography, etc."" As such, we just use the raw column densities as our pollution estimates which is not problematic if considering within-zone variation of the data points around each sensor, as opposed to variation across sensors. We circumvent the issue with the introduction of localized z-scores"" (p. 15).",Monitor placement,Public health; economics; science,Muller and Ruud (2018),"The overall findings of strategically placed monitors raise significant questions about the accuracy of available data for research. Presuming that the pollution data is skewed such that polluted areas are not properly identified, many of the econometric studies conducted in the US with this data could be subsequently inaccurate. The real world implication is that the populations living in polluted areas, which are being made to appear to be less dirty, will be the ones to bear the burden by losing out on forced pollution reduction. / This article is one of only two dealing with monitor placement decisions."
"Greenstone, Michael, and Rema Hanna. 2014. “Environmental Regulations, Air and Water Pollution, and Infant Mortality in India.” American Economic Review 104 (10): 3038–72. https://doi.org/10.1257/aer.104.10.3038.",2014,How did Indian government policies impact water and air quality? How did these changes in turn affect infant mortality rates?,India,1986-2007,"Data: Annual city-level infant mortality data. City-level sociodemographic characteristics, corruption, social activism data. District-level population, literacy rates, expenditure per capita. State-level demand for clean air and water and the degree of local corruption and institutional quality, each year (gathered from quantity of Times of India newspaper mentions of the topic).",,,"Compare air and water pollution data, and infant mortality rates, with the timing implementation of policies intended to reduce pollution. Authors sought to identify if the policies led to a reduction in infant mortality rate due to reduced pollution levels. The authors also utilized mentions about cleaner air and water in the Times of India newspaper in order to identify the influence of public demand for cleaner air and water on success of related policies.",Panel,PM; NO2; SO2,"Air Pollution: Measures of NO2, SO2, and PM (diameter <100μm), by 572 monitors in 140 cities across the country, from 1987-2007. Dataset does not include all cities and all monitors each year. The frequency of readings was not listed.; Water Pollution: Quarterly of monthly river data observations from 489 monitors in 424 cities (along 162 rivers), 1986-2005. Measures: biochemical oxygen demand (BOD), an indicator of water quality; dissolved oxygen (DO), another indicator of water quality; and fecal coliforms (FColi), a count of coliform bacteria per 100ml of water.",Infant mortality rate,"City fixed effects, year fixed effects, per-capita consumption and literacy rates.","1) Implementation of a catalytic converter requirement was strongly associated with air pollution reductions. In the 5 years following the policy's enactment (1996-2000), pollution levels decreased by the following amounts: PM by 48.6 μg/m3, SO2 by 13.5 μg/m3, and NO2 4.4 μg/m3. The PM and SO2 declines are statistically significant. The NO2 decline was not. These declines are 19 percent, 69 percent, and 17 percent of the 1987–1990 nationwide mean concentrations, respectively (p. 3058). 2) For the Supreme Court Action Plan (SCAP) air pollution policies, there is scant evidence of a change in PM or SO2 concentrations, and only minor evidence for an impact on NO2, when controlling for pre-existing trends. 3) There is little evidence suggesting that The National River Conservation Plan (NRCP), which began in 1985, reduced water pollution. BOD and DO have worsened and FColi levels have not changed significantly. 4) The catalytic converter policy is associated with a reduction in infant mortality rate of 0.64 per 1000 live births. However, the authors feel that this estimate is imprecise and not statistically significant. 5) The success of pollution policies in developing countries with weak governmental institutions is dependent on popular support and the support of stronger institutions. This is the reasons for the relative success of air quality protections in India.","1) In India, many births and deaths are not registered with the government. This is likely a greater problem with unreported deaths and thus the true infant mortality rate is likely higher than indicated by the data. As such the authors' findings likely underestimate the impact of pollutants on infant mortality. 2) When authors derived their levels of demand for clean air and water from newspaper mentions, it is possible that these mentions do not correlate with public demand. Authors posit that, ""it is possible that the greater mentions reflect differences in water or air pollution concentrations or some other factor"" instead (p. 3065).",Impact on child/infant health,Public health; economics; science,,"Authors state that their dataset gathered and used is the most comprehensive city-level panel dataset amassed for air and water pollution as well as environmental policies for any developing country, to date. / Fascinating paper. However, much of the research in this paper is evaluating why certain government policies worked to lower pollution, or not. The focus on infant mortality is a relatively small part of the study."
"Gupta, Pawan, Sundar A. Christopher, Jun Wang, Robert Gehrig, Yc Lee, and Naresh Kumar. 2006. “Satellite Remote Sensing of Particulate Matter and Air Quality Assessment over Global Cities.” Atmospheric Environment 40 (30): 5880–92. https://doi.org/10.1016/j.atmosenv.2006.03.016.",2006,Prior studies have shown a relationship between satellite-derived aerosol optical thickness (AOT) data and PM air quality on earth. This paper adds to the literature by expanding on this evidence for urban areas outside of the US in order to test the reliability of this relationship for predicting ground-level PM2.5.,"Satellite data for:; New Delhi, India, Australia, Hong Kong, Switzerland, &; New York, USA",,1 year of data (2002).; The MODerate resolution Imaging Spectro-radiometer (MODIS) aerosol optical thickness (AOT) and PM2.5 mass were collocated in space and time for inter-comparative and quantitative analysis,,,,?,PM2.5; AOT,"MODIS data measuring AOT across a certain geographic area, called a pixel, was matched with PM2.5 measurement station data located within 25km of the pixel. PM2.5 hourly measurements were averaged daily.",,"Ambient relative humidity, wind speed, cloud cover, and height of the mixing layer.","Ground sensors are accurate measures of point PM2.5 pollution but are not an efficient/effective means of mapping regional to global distribution of aerosols. Satellite-derived data could fill this gap, especially in developing countries with limited measurement capabilities.; Satellite data can also better track the origins of PM and its spread around regions and the world.; Findings for air quality condition during the study period: Sydney and Switzerland - good; NYC - moderate; Delhi and Hong Kong - not good.","Limitations of satellite data use:; Relevant only for relatively large spatial areas, not specific neighborhoods; Measures ambient conditions that can be influenced by weather, while PM2.5 ground-level monitors measure surface-level dry particle concentrations.",Satellite monitoring,Public health; science,Zhang et al. (2005),"Much of the paper contains highly technical details of the process of satellite data gathering and interpretation.; In this paper, 'aerosols' refer to particles suspended in the air/ atmosphere; A visual explanation of the satellite measurements techniques can be found: https://arset.gsfc.nasa.gov/sites/default/files/airquality/workshops/BAQ16/P8.pdf"
