id,year,status
245,2023,Not in labor force
246,2023,Unemployed
247,2023,Unemployed
248,2023,Not in labor force
249,2023,Unemployed
250,2023,Employed
251,2023,Employed
252,2023,Not in labor force
253,2023,Not in labor force
254,2023,Unemployed
255,2023,Unemployed
256,2023,Unemployed
257,2023,Not in labor force
258,2023,Not in labor force
259,2023,Employed
260,2023,Employed
261,2023,Not in labor force
262,2023,Employed
263,2023,Employed
264,2023,Employed
265,2023,Unemployed
266,2023,Employed
267,2023,Employed
268,2023,Not in labor force
269,2023,Unemployed
270,2023,Not in labor force
271,2023,Not in labor force
272,2023,Employed
273,2023,Unemployed
274,2023,Not in labor force
275,2023,Employed
276,2023,Not in labor force
277,2023,Not in labor force
278,2023,Employed
279,2023,Employed
280,2023,Not in labor force
281,2023,Unemployed
282,2023,Unemployed
283,2023,Not in labor force
284,2023,Employed
285,2023,Unemployed
286,2023,Employed
287,2023,Unemployed
288,2023,Unemployed
289,2023,Not in labor force
290,2023,Not in labor force
291,2023,Not in labor force
292,2023,Employed
293,2023,Not in labor force
294,2023,Unemployed
295,2023,Unemployed
296,2023,Unemployed
297,2023,Not in labor force
298,2023,Unemployed
299,2023,Employed
300,2023,Employed
301,2023,Not in labor force
302,2023,Unemployed
303,2023,Employed
304,2023,Employed
305,2023,Unemployed
306,2023,Employed
307,2023,Employed
308,2023,Not in labor force
309,2023,Not in labor force
310,2023,Employed
311,2023,Employed
312,2023,Not in labor force
313,2023,Employed
314,2023,Unemployed
315,2023,Not in labor force
316,2023,Employed
317,2023,Not in labor force
318,2023,Not in labor force
319,2023,Employed
320,2023,Employed
321,2023,Unemployed
322,2023,Employed
323,2023,Unemployed
324,2023,Employed
325,2023,Employed
326,2023,Not in labor force
327,2023,Employed
328,2023,Unemployed
329,2023,Not in labor force
330,2023,Employed
331,2023,Not in labor force
332,2023,Not in labor force
333,2023,Employed
334,2023,Employed
335,2023,Employed
336,2023,Employed
337,2023,Employed
338,2023,Employed
339,2023,Unemployed
340,2023,Unemployed
341,2023,Not in labor force
342,2023,Not in labor force
343,2023,Employed
344,2023,Employed
345,2023,Unemployed
346,2023,Employed
347,2023,Employed
348,2023,Unemployed
349,2023,Unemployed
350,2023,Employed
351,2023,Employed
352,2023,Employed
353,2023,Employed
354,2023,Employed
355,2023,Employed
356,2023,Not in labor force
357,2023,Not in labor force
358,2023,Unemployed
359,2023,Employed
360,2023,Employed
361,2023,Employed
362,2023,Employed
363,2023,Employed
364,2023,Unemployed
365,2023,Not in labor force
366,2023,Employed
367,2023,Unemployed
368,2023,Not in labor force
369,2023,Employed
370,2023,Employed
371,2023,Employed
372,2023,Unemployed
373,2023,Not in labor force
374,2023,Not in labor force
375,2023,Employed
376,2023,Employed
377,2023,Not in labor force
378,2023,Employed
379,2023,Employed
380,2023,Not in labor force
381,2023,Employed
382,2023,Employed
383,2023,Not in labor force
384,2023,Employed
385,2023,Not in labor force
386,2023,Employed
387,2023,Employed
388,2023,Employed
389,2023,Employed
390,2023,Employed
391,2023,Not in labor force
392,2023,Employed
393,2023,Not in labor force
394,2023,Employed
395,2023,Employed
396,2023,Unemployed
397,2023,Employed
398,2023,Not in labor force
399,2023,Not in labor force
400,2023,Not in labor force
401,2023,Employed
402,2023,Not in labor force
403,2023,Unemployed
404,2023,Employed
405,2023,Not in labor force
406,2023,Employed
407,2023,Employed
408,2023,Employed
409,2023,Employed
410,2023,Unemployed
411,2023,Not in labor force
412,2023,Not in labor force
413,2023,Not in labor force
414,2023,Not in labor force
415,2023,Employed
416,2023,Not in labor force
417,2023,Employed
418,2023,Employed
419,2023,Not in labor force
420,2023,Unemployed
421,2023,Unemployed
422,2023,Employed
423,2023,Not in labor force
424,2023,Employed
425,2023,Not in labor force
426,2023,Not in labor force
427,2023,Unemployed
428,2023,Employed
429,2023,Employed
430,2023,Employed
431,2023,Unemployed
432,2023,Employed
433,2023,Employed
434,2023,Not in labor force
435,2023,Employed
436,2023,Not in labor force
437,2023,Employed
438,2023,Employed
439,2023,Unemployed
440,2023,Employed
441,2023,Not in labor force
442,2023,Employed
443,2023,Not in labor force
444,2023,Unemployed
445,2023,Employed
446,2023,Employed
447,2023,Unemployed
448,2023,Employed
449,2023,Unemployed
450,2023,Employed
451,2023,Employed
452,2023,Not in labor force
453,2023,Employed
454,2023,Not in labor force
455,2023,Employed
456,2023,Employed
457,2023,Employed
458,2023,Not in labor force
459,2023,Employed
460,2023,Unemployed
461,2023,Not in labor force
462,2023,Employed
463,2023,Employed
464,2023,Employed
465,2023,Not in labor force
466,2023,Not in labor force
467,2023,Employed
468,2023,Employed
469,2023,Not in labor force
470,2023,Not in labor force
471,2023,Employed
472,2023,Unemployed
473,2023,Employed
474,2023,Not in labor force
475,2023,Employed
476,2023,Employed
477,2023,Employed
478,2023,Employed
479,2023,Employed
480,2023,Employed
481,2023,Employed
482,2023,Employed
483,2023,Not in labor force
484,2023,Not in labor force
485,2023,Employed
486,2023,Not in labor force
487,2023,Unemployed
488,2023,Employed
489,2023,Employed
490,2023,Not in labor force
491,2023,Employed
492,2023,Not in labor force
493,2023,Employed
494,2023,Employed
495,2023,Unemployed
496,2023,Employed
497,2023,Employed
498,2023,Not in labor force
499,2023,Not in labor force
500,2023,Not in labor force
501,2023,Unemployed
502,2023,Not in labor force
503,2023,Not in labor force
504,2023,Employed
505,2023,Employed
506,2023,Employed
507,2023,Unemployed
508,2023,Employed
509,2023,Employed
510,2023,Employed
511,2023,Not in labor force
512,2023,Employed
513,2023,Not in labor force
514,2023,Employed
515,2023,Employed
516,2023,Unemployed
517,2023,Employed
518,2023,Employed
519,2023,Not in labor force
520,2023,Employed
521,2023,Not in labor force
522,2023,Not in labor force
523,2023,Not in labor force
524,2023,Not in labor force
525,2023,Not in labor force
526,2023,Unemployed
527,2023,Not in labor force
528,2023,Employed
529,2023,Employed
530,2023,Employed
531,2023,Unemployed
532,2023,Not in labor force
533,2023,Not in labor force
534,2023,Unemployed
535,2023,Not in labor force
536,2023,Employed
537,2023,Employed
538,2023,Not in labor force
539,2023,Not in labor force
540,2023,Employed
541,2023,Employed
542,2023,Unemployed
543,2023,Unemployed
544,2023,Not in labor force
545,2023,Unemployed
546,2023,Unemployed
547,2023,Employed
548,2023,Employed
549,2023,Employed
550,2023,Employed
551,2023,Employed
552,2023,Employed
553,2023,Employed
554,2023,Unemployed
555,2023,Employed
556,2023,Employed
557,2023,Employed
558,2023,Unemployed
559,2023,Not in labor force
560,2023,Employed
561,2023,Not in labor force
562,2023,Unemployed
563,2023,Not in labor force
564,2023,Employed
565,2023,Employed
566,2023,Not in labor force
567,2023,Unemployed
568,2023,Employed
569,2023,Employed
570,2023,Employed
571,2023,Not in labor force
572,2023,Not in labor force
573,2023,Employed
574,2023,Not in labor force
575,2023,Unemployed
576,2023,Unemployed
577,2023,Employed
578,2023,Unemployed
579,2023,Employed
580,2023,Unemployed
581,2023,Employed
582,2023,Not in labor force
583,2023,Not in labor force
584,2023,Employed
585,2023,Employed
586,2023,Unemployed
587,2023,Unemployed
588,2023,Employed
589,2023,Not in labor force
590,2023,Employed
591,2023,Employed
592,2023,Unemployed
593,2023,Unemployed
594,2023,Not in labor force
595,2023,Employed
596,2023,Not in labor force
597,2023,Not in labor force
598,2023,Employed
599,2023,Employed
600,2023,Not in labor force
601,2023,Employed
602,2023,Unemployed
603,2023,Not in labor force
604,2023,Employed
605,2023,Employed
606,2023,Employed
607,2023,Employed
608,2023,Employed
609,2023,Not in labor force
610,2023,Not in labor force
611,2023,Unemployed
612,2023,Not in labor force
613,2023,Not in labor force
614,2023,Unemployed
615,2023,Employed
616,2023,Employed
617,2023,Employed
618,2023,Employed
619,2023,Not in labor force
620,2023,Unemployed
621,2023,Employed
622,2023,Employed
623,2023,Employed
624,2023,Not in labor force
625,2023,Employed
626,2023,Employed
627,2023,Not in labor force
628,2023,Employed
629,2023,Unemployed
630,2023,Not in labor force
631,2023,Employed
632,2023,Employed
633,2023,Not in labor force
634,2023,Employed
635,2023,Unemployed
636,2023,Unemployed
637,2023,Employed
638,2023,Employed
639,2023,Employed
640,2023,Employed
641,2023,Unemployed
642,2023,Employed
643,2023,Employed
644,2023,Not in labor force
645,2023,Unemployed
646,2023,Employed
647,2023,Employed
648,2023,Unemployed
649,2023,Not in labor force
650,2023,Employed
651,2023,Employed
652,2023,Not in labor force
653,2023,Unemployed
654,2023,Employed
655,2023,Employed
656,2023,Not in labor force
657,2023,Employed
658,2023,Employed
659,2023,Unemployed
660,2023,Employed
661,2023,Employed
662,2023,Unemployed
663,2023,Employed
664,2023,Unemployed
665,2023,Employed
666,2023,Not in labor force
667,2023,Employed
668,2023,Employed
669,2023,Not in labor force
670,2023,Not in labor force
671,2023,Employed
672,2023,Employed
673,2023,Employed
674,2023,Not in labor force
675,2023,Not in labor force
676,2023,Employed
677,2023,Employed
678,2023,Not in labor force
679,2023,Unemployed
680,2023,Employed
681,2023,Unemployed
682,2023,Not in labor force
683,2023,Not in labor force
684,2023,Not in labor force
685,2023,Employed
686,2023,Employed
687,2023,Unemployed
688,2023,Employed
689,2023,Unemployed
690,2023,Employed
691,2023,Employed
692,2023,Unemployed
693,2023,Unemployed
694,2023,Employed
695,2023,Not in labor force
696,2023,Employed
697,2023,Employed
698,2023,Not in labor force
699,2023,Employed
700,2023,Employed
701,2023,Not in labor force
702,2023,Unemployed
703,2023,Not in labor force
704,2023,Employed
705,2023,Unemployed
706,2023,Employed
707,2023,Employed
708,2023,Employed
709,2023,Employed
710,2023,Not in labor force
711,2023,Not in labor force
712,2023,Unemployed
713,2023,Employed
714,2023,Employed
715,2023,Not in labor force
716,2023,Employed
717,2023,Unemployed
718,2023,Employed
719,2023,Employed
720,2023,Not in labor force
721,2023,Not in labor force
722,2023,Employed
723,2023,Employed
724,2023,Not in labor force
725,2023,Employed
726,2023,Not in labor force
727,2023,Employed
728,2023,Unemployed
729,2023,Unemployed
730,2023,Employed
731,2023,Employed
732,2023,Unemployed
733,2023,Not in labor force
734,2023,Employed
735,2023,Not in labor force
736,2023,Employed
737,2023,Employed
738,2023,Not in labor force
739,2023,Not in labor force
740,2023,Employed
741,2023,Employed
742,2023,Unemployed
743,2023,Not in labor force
744,2023,Employed
745,2023,Employed
746,2023,Employed
747,2023,Employed
748,2023,Unemployed
749,2023,Employed
750,2023,Employed
751,2023,Not in labor force
752,2023,Not in labor force
753,2023,Not in labor force
754,2023,Not in labor force
755,2023,Employed
756,2023,Unemployed
757,2023,Employed
758,2023,Not in labor force
759,2023,Unemployed
760,2023,Employed
761,2023,Not in labor force
762,2023,Employed
763,2023,Employed
764,2023,Not in labor force
765,2023,Not in labor force
766,2023,Employed
767,2023,Employed
768,2023,Not in labor force
769,2023,Employed
770,2023,Unemployed
771,2023,Employed
772,2023,Unemployed
773,2023,Employed
774,2023,Employed
775,2023,Unemployed
776,2023,Not in labor force
777,2023,Employed
778,2023,Unemployed
779,2023,Not in labor force
780,2023,Employed
781,2023,Not in labor force
782,2023,Unemployed
783,2023,Not in labor force
784,2023,Employed
785,2023,Unemployed
786,2023,Not in labor force
787,2023,Not in labor force
788,2023,Employed
789,2023,Employed
790,2023,Employed
791,2023,Employed
792,2023,Employed
793,2023,Employed
794,2023,Employed
795,2023,Employed
796,2023,Employed
797,2023,Employed
798,2023,Employed
799,2023,Not in labor force
800,2023,Employed
801,2023,Employed
802,2023,Employed
803,2023,Not in labor force
804,2023,Employed
805,2023,Not in labor force
806,2023,Not in labor force
807,2023,Employed
808,2023,Employed
809,2023,Not in labor force
810,2023,Unemployed
811,2023,Not in labor force
812,2023,Employed
813,2023,Employed
814,2023,Not in labor force
815,2023,Not in labor force
816,2023,Employed
817,2023,Unemployed
818,2023,Unemployed
819,2023,Not in labor force
820,2023,Employed
821,2023,Not in labor force
822,2023,Employed
823,2023,Employed
824,2023,Employed
825,2023,Employed
826,2023,Employed
827,2023,Unemployed
828,2023,Employed
829,2023,Employed
830,2023,Employed
831,2023,Not in labor force
832,2023,Not in labor force
833,2023,Employed
834,2023,Not in labor force
835,2023,Unemployed
836,2023,Not in labor force
837,2023,Employed
838,2023,Employed
839,2023,Unemployed
840,2023,Not in labor force
841,2023,Employed
842,2023,Unemployed
843,2023,Unemployed
844,2023,Not in labor force
845,2023,Employed
846,2023,Not in labor force
847,2023,Employed
848,2023,Employed
849,2023,Employed
850,2023,Employed
851,2023,Employed
852,2023,Employed
853,2023,Employed
854,2023,Employed
855,2023,Employed
856,2023,Employed
857,2023,Not in labor force
858,2023,Employed
859,2023,Employed
860,2023,Not in labor force
861,2023,Not in labor force
862,2023,Employed
863,2023,Unemployed
864,2023,Unemployed
865,2023,Employed
866,2023,Employed
867,2023,Employed
868,2023,Not in labor force
869,2023,Not in labor force
870,2023,Employed
871,2023,Not in labor force
872,2023,Employed
873,2023,Employed
874,2023,Employed
875,2023,Employed
876,2023,Employed
877,2023,Employed
878,2023,Employed
879,2023,Not in labor force
880,2023,Unemployed
881,2023,Not in labor force
882,2023,Not in labor force
883,2023,Unemployed
884,2023,Employed
885,2023,Not in labor force
886,2023,Not in labor force
887,2023,Employed
888,2023,Unemployed
889,2023,Not in labor force
890,2023,Employed
891,2023,Employed
892,2023,Not in labor force
893,2023,Employed
894,2023,Employed
895,2023,Employed
896,2023,Employed
897,2023,Employed
898,2023,Not in labor force
899,2023,Employed
900,2023,Employed
901,2023,Not in labor force
902,2023,Employed
903,2023,Employed
904,2023,Not in labor force
905,2023,Unemployed
906,2023,Not in labor force
907,2023,Not in labor force
908,2023,Employed
909,2023,Employed
910,2023,Employed
911,2023,Employed
912,2023,Unemployed
913,2023,Not in labor force
914,2023,Not in labor force
915,2023,Unemployed
916,2023,Employed
917,2023,Employed
918,2023,Employed
919,2023,Employed
920,2023,Employed
921,2023,Employed
922,2023,Employed
923,2023,Not in labor force
924,2023,Employed
925,2023,Employed
926,2023,Employed
927,2023,Employed
928,2023,Employed
929,2023,Unemployed
930,2023,Employed
931,2023,Not in labor force
932,2023,Employed
933,2023,Employed
934,2023,Employed
935,2023,Not in labor force
936,2023,Unemployed
937,2023,Employed
938,2023,Employed
939,2023,Employed
940,2023,Employed
941,2023,Unemployed
942,2023,Not in labor force
943,2023,Employed
944,2023,Unemployed
945,2023,Employed
946,2023,Not in labor force
947,2023,Employed
948,2023,Employed
949,2023,Not in labor force
950,2023,Employed
951,2023,Employed
952,2023,Unemployed
953,2023,Employed
954,2023,Employed
955,2023,Employed
956,2023,Not in labor force
957,2023,Not in labor force
958,2023,Unemployed
959,2023,Not in labor force
960,2023,Employed
961,2023,Not in labor force
962,2023,Employed
963,2023,Employed
964,2023,Employed
965,2023,Not in labor force
966,2023,Employed
967,2023,Employed
968,2023,Employed
969,2023,Unemployed
970,2023,Employed
971,2023,Employed
972,2023,Employed
973,2023,Not in labor force
974,2023,Not in labor force
975,2023,Not in labor force
976,2023,Employed
977,2023,Employed
978,2023,Employed
979,2023,Unemployed
980,2023,Employed
981,2023,Employed
982,2023,Employed
983,2023,Employed
984,2023,Employed
985,2023,Unemployed
986,2023,Unemployed
987,2023,Not in labor force
988,2023,Not in labor force
989,2023,Not in labor force
990,2023,Employed
991,2023,Employed
992,2023,Not in labor force
993,2023,Unemployed
994,2023,Employed
995,2023,Unemployed
996,2023,Employed
997,2023,Not in labor force
998,2023,Not in labor force
999,2023,Employed
1000,2023,Unemployed
1001,2023,Employed
1002,2023,Unemployed
1003,2023,Employed
1004,2023,Unemployed
1005,2023,Not in labor force
1006,2023,Not in labor force
1007,2023,Unemployed
1008,2023,Employed
1009,2023,Employed
1010,2023,Unemployed
1011,2023,Employed
1012,2023,Employed
1013,2023,Employed
1014,2023,Not in labor force
1015,2023,Employed
1016,2023,Employed
1017,2023,Employed
1018,2023,Not in labor force
1019,2023,Employed
1020,2023,Unemployed
1021,2023,Unemployed
1022,2023,Unemployed
1023,2023,Not in labor force
1024,2023,Employed
1025,2023,Employed
1026,2023,Not in labor force
1027,2023,Employed
1028,2023,Employed
1029,2023,Not in labor force
1030,2023,Not in labor force
1031,2023,Unemployed
1032,2023,Unemployed
1033,2023,Unemployed
1034,2023,Employed
1035,2023,Employed
1036,2023,Not in labor force
1037,2023,Unemployed
1038,2023,Employed
1039,2023,Employed
1040,2023,Not in labor force
1041,2023,Unemployed
1042,2023,Employed
1043,2023,Not in labor force
1044,2023,Employed
1045,2023,Employed
1046,2023,Employed
1047,2023,Employed
1048,2023,Unemployed
1049,2023,Employed
1050,2023,Not in labor force
1051,2023,Employed
1052,2023,Not in labor force
1053,2023,Employed
1054,2023,Not in labor force
1055,2023,Not in labor force
1056,2023,Employed
1057,2023,Not in labor force
1058,2023,Not in labor force
1059,2023,Not in labor force
1060,2023,Not in labor force
1061,2023,Unemployed
1062,2023,Unemployed
1063,2023,Unemployed
1064,2023,Employed
1065,2023,Unemployed
1066,2023,Unemployed
1067,2023,Employed
1068,2023,Not in labor force
1069,2023,Employed
1070,2023,Unemployed
1071,2023,Employed
1072,2023,Unemployed
1073,2023,Not in labor force
1074,2023,Employed
1075,2023,Not in labor force
1076,2023,Employed
1077,2023,Not in labor force
1078,2023,Employed
1079,2023,Not in labor force
1080,2023,Employed
1081,2023,Unemployed
1082,2023,Employed
1083,2023,Not in labor force
1084,2023,Employed
1085,2023,Employed
1086,2023,Employed
1087,2023,Employed
1088,2023,Employed
1089,2023,Employed
1090,2023,Unemployed
1091,2023,Employed
1092,2023,Employed
1093,2023,Not in labor force
1094,2023,Not in labor force
1095,2023,Unemployed
1096,2023,Not in labor force
1097,2023,Unemployed
1098,2023,Employed
1099,2023,Employed
1100,2023,Employed
1101,2023,Employed
1102,2023,Employed
1103,2023,Not in labor force
1104,2023,Not in labor force
1105,2023,Employed
1106,2023,Employed
1107,2023,Not in labor force
1108,2023,Not in labor force
1109,2023,Employed
1110,2023,Unemployed
1111,2023,Not in labor force
1112,2023,Employed
1113,2023,Employed
1114,2023,Not in labor force
1115,2023,Employed
1116,2023,Not in labor force
1117,2023,Unemployed
1118,2023,Not in labor force
1119,2023,Not in labor force
1120,2023,Unemployed
1121,2023,Not in labor force
1122,2023,Not in labor force
1123,2023,Not in labor force
1124,2023,Employed
1125,2023,Unemployed
1126,2023,Employed
1127,2023,Not in labor force
1128,2023,Employed
1129,2023,Employed
1130,2023,Employed
1131,2023,Unemployed
1132,2023,Employed
1133,2023,Employed
1134,2023,Unemployed
1135,2023,Not in labor force
1136,2023,Unemployed
1137,2023,Employed
1138,2023,Employed
1139,2023,Employed
1140,2023,Employed
1141,2023,Employed
1142,2023,Employed
1143,2023,Not in labor force
1144,2023,Employed
1145,2023,Employed
1146,2023,Not in labor force
1147,2023,Unemployed
1148,2023,Not in labor force
1149,2023,Employed
1150,2023,Not in labor force
1151,2023,Employed
1152,2023,Employed
1153,2023,Unemployed
1154,2023,Not in labor force
1155,2023,Employed
1156,2023,Not in labor force
1157,2023,Employed
1158,2023,Employed
1159,2023,Unemployed
1160,2023,Employed
1161,2023,Employed
1162,2023,Employed
1163,2023,Employed
1164,2023,Unemployed
1165,2023,Employed
1166,2023,Not in labor force
1167,2023,Unemployed
1168,2023,Unemployed
1169,2023,Not in labor force
1170,2023,Employed
1171,2023,Employed
1172,2023,Employed
1173,2023,Not in labor force
1174,2023,Employed
1175,2023,Employed
1176,2023,Employed
1177,2023,Unemployed
1178,2023,Not in labor force
1179,2023,Unemployed
1180,2023,Not in labor force
1181,2023,Not in labor force
1182,2023,Unemployed
1183,2023,Employed
1184,2023,Employed
1185,2023,Employed
1186,2023,Employed
1187,2023,Not in labor force
1188,2023,Employed
1189,2023,Employed
1190,2023,Employed
1191,2023,Not in labor force
1192,2023,Employed
1193,2023,Employed
1194,2023,Not in labor force
1195,2023,Not in labor force
1196,2023,Employed
1197,2023,Not in labor force
1198,2023,Employed
1199,2023,Not in labor force
1200,2023,Not in labor force
1201,2023,Employed
1202,2023,Not in labor force
1203,2023,Not in labor force
1204,2023,Not in labor force
1205,2023,Unemployed
1206,2023,Unemployed
1207,2023,Employed
1208,2023,Not in labor force
1209,2023,Employed
1210,2023,Unemployed
1211,2023,Employed
1212,2023,Not in labor force
1213,2023,Employed
1214,2023,Employed
1215,2023,Unemployed
1216,2023,Employed
1217,2023,Not in labor force
1218,2023,Employed
1219,2023,Employed
1220,2023,Not in labor force
1221,2023,Unemployed
1222,2023,Employed
1223,2023,Not in labor force
1224,2023,Employed
1225,2023,Employed
1226,2023,Unemployed
1227,2023,Unemployed
1228,2023,Unemployed
1229,2023,Employed
1230,2023,Employed
1231,2023,Not in labor force
1232,2023,Employed
1233,2023,Employed
1234,2023,Not in labor force
1235,2023,Unemployed
1236,2023,Unemployed
1237,2023,Employed
1238,2023,Not in labor force
1239,2023,Employed
1240,2023,Employed
1241,2023,Not in labor force
1242,2023,Employed
1243,2023,Employed
1244,2023,Employed
1245,2023,Unemployed
1246,2023,Employed
1247,2023,Unemployed
1248,2023,Employed
1249,2023,Not in labor force
1250,2023,Employed
1251,2024,Employed
1252,2024,Employed
1253,2024,Employed
1254,2024,Employed
1255,2024,Employed
1256,2024,Not in labor force
1257,2024,Employed
1258,2024,Unemployed
1259,2024,Unemployed
1260,2024,Employed
1261,2024,Not in labor force
1262,2024,Unemployed
1263,2024,Not in labor force
1264,2024,Employed
1265,2024,Unemployed
1266,2024,Employed
1267,2024,Unemployed
1268,2024,Employed
1269,2024,Employed
1270,2024,Unemployed
1271,2024,Not in labor force
1272,2024,Employed
1273,2024,Not in labor force
1274,2024,Employed
1275,2024,Employed
1276,2024,Employed
1277,2024,Employed
1278,2024,Employed
1279,2024,Employed
1280,2024,Employed
1281,2024,Employed
1282,2024,Employed
1283,2024,Not in labor force
1284,2024,Employed
1285,2024,Employed
1286,2024,Not in labor force
1287,2024,Employed
1288,2024,Employed
1289,2024,Employed
1290,2024,Employed
1291,2024,Employed
1292,2024,Employed
1293,2024,Not in labor force
1294,2024,Employed
1295,2024,Unemployed
1296,2024,Employed
1297,2024,Unemployed
1298,2024,Employed
1299,2024,Employed
1300,2024,Unemployed
1301,2024,Unemployed
1302,2024,Unemployed
1303,2024,Employed
1304,2024,Unemployed
1305,2024,Employed
1306,2024,Not in labor force
1307,2024,Not in labor force
1308,2024,Not in labor force
1309,2024,Employed
1310,2024,Not in labor force
1311,2024,Employed
1312,2024,Employed
1313,2024,Employed
1314,2024,Not in labor force
1315,2024,Employed
1316,2024,Not in labor force
1317,2024,Employed
1318,2024,Not in labor force
1319,2024,Not in labor force
1320,2024,Not in labor force
1321,2024,Employed
1322,2024,Unemployed
1323,2024,Employed
1324,2024,Employed
1325,2024,Employed
1326,2024,Not in labor force
1327,2024,Employed
1328,2024,Not in labor force
1329,2024,Unemployed
