id,village,income
381,12,184743
382,12,225492
383,12,199968
384,12,221815
385,12,232997
386,12,239191
387,12,231963
388,12,231424
389,12,203315
390,12,228627
391,12,188506
392,12,251846
393,12,228173
394,12,235817
395,12,240085
396,12,244820
397,12,214386
398,12,255406
399,12,217920
400,12,272316
401,12,250543
402,12,263564
403,12,153834
404,12,276497
405,12,270769
406,12,213867
407,12,229333
408,12,233410
409,12,220482
410,12,239985
411,12,218141
412,13,251272
413,13,189123
414,13,196452
415,13,212073
416,13,173718
417,13,220594
418,13,188393
419,13,191941
420,13,205497
421,13,212573
422,13,173677
423,13,243947
424,13,172087
425,13,175975
426,13,221212
427,13,175699
428,13,171730
429,13,192829
430,13,215117
431,13,232564
432,13,219708
433,13,172790
434,13,203056
435,13,225839
436,13,197077
437,14,251259
438,14,264008
439,14,231716
440,14,244022
441,14,227204
442,14,237200
443,14,239692
444,14,196526
445,14,212180
446,14,237830
447,14,241140
448,14,265072
449,14,233262
450,14,244560
451,14,225945
452,14,249436
453,14,251928
454,14,238733
455,14,238190
456,14,255667
457,14,229219
458,14,199016
459,14,209408
460,14,216235
461,14,226779
462,14,219928
463,14,240304
464,14,230516
465,14,259165
466,14,236024
467,14,250974
468,14,206525
469,14,229514
470,14,243995
471,14,236875
472,14,246087
473,14,234385
474,14,163506
475,14,254994
476,14,210163
477,14,230922
478,14,182243
479,14,221885
480,14,198483
481,14,201246
482,14,271004
483,15,171387
484,15,189809
485,15,149423
486,15,196150
487,15,226956
488,15,211274
489,15,214254
490,15,227247
491,15,193438
492,15,170646
493,15,214270
494,15,231671
495,15,199528
496,15,214083
497,16,217497
498,16,217400
499,16,194074
500,16,158273
501,16,183393
502,16,202501
503,16,215010
504,16,200336
505,16,222798
506,16,211953
507,16,216119
508,16,202226
509,16,273148
510,16,259259
511,16,199539
512,16,190200
513,16,244798
514,16,198142
515,16,238705
516,16,198077
517,16,209303
518,16,208053
519,16,166152
520,16,211862
521,16,206299
522,16,168310
523,16,227128
524,17,203301
525,17,238990
526,17,214709
527,17,188052
528,17,220805
529,17,208033
530,17,206184
531,17,178372
532,17,254237
533,17,215743
534,17,263449
535,17,171844
536,17,234811
537,17,221656
538,18,212329
539,18,222969
540,18,234941
541,18,207388
542,18,218518
543,18,219834
544,18,256926
545,18,223200
546,18,214811
547,18,221539
548,18,214452
549,18,264730
550,18,210396
551,18,258718
552,18,232700
553,18,275336
554,18,234732
555,18,196321
556,18,231923
557,18,213994
558,18,233373
559,18,198813
560,18,236254
561,19,210411
562,19,225347
563,19,193308
564,19,234445
565,19,240446
566,19,219859
567,19,177828
568,19,184050
569,19,226226
570,19,235661
571,19,195530
572,19,208862
573,19,172420
574,19,202889
575,19,228677
576,19,191470
577,19,212718
578,19,217751
579,19,202380
580,19,203746
581,19,226211
582,19,207156
583,19,185706
584,19,219665
585,19,211775
586,19,197892
587,19,201078
588,19,220162
589,19,238998
590,19,179781
591,19,249574
592,19,246623
593,20,185171
594,20,210664
595,20,183602
596,20,211525
597,20,248621
598,20,223961
599,20,223800
600,20,215896
601,20,213910
602,20,215935
603,20,225979
604,20,221208
605,20,224436
606,20,266465
607,20,216815
608,20,223454
609,20,217450
610,20,253440
611,20,229240
612,20,258561
613,20,223491
614,20,200201
615,20,217199
616,20,249708
617,20,268093
618,20,214597
619,20,214481
620,20,235990
621,20,206425
622,20,239058
623,20,202152
624,20,250661
625,20,215145
626,20,245269
627,20,232371
628,20,229340
629,20,190060
630,20,252397
631,20,185582
632,20,205898
633,21,218585
634,21,202499
635,21,195375
636,21,201129
637,21,223673
638,21,222395
639,21,177263
640,21,200687
641,21,188949
642,21,197987
643,21,171747
644,21,201710
645,21,164214
646,21,168477
647,21,184898
648,22,213758
649,22,185661
650,22,192230
651,22,236908
652,22,190125
653,22,223069
654,22,269304
655,22,216238
656,22,215209
657,22,226627
658,22,216042
659,22,238288
660,22,196756
661,22,193423
662,22,213623
663,22,205600
664,22,254884
665,22,267547
666,22,224755
667,22,209701
668,22,194261
669,22,263023
670,22,202832
671,22,239077
672,22,165761
673,22,206774
674,22,253454
675,22,241494
676,22,222036
677,22,200257
678,22,200317
679,22,217517
680,23,241286
681,23,193174
682,23,237463
683,23,177658
684,23,229441
685,23,229187
686,23,240494
687,23,242780
688,23,187411
689,23,203149
690,23,251555
691,23,211567
692,23,244033
693,24,204706
694,24,176125
695,24,202298
696,24,157585
697,24,234631
698,24,212756
699,24,221224
700,24,184956
701,24,264933
702,24,171599
703,24,199369
704,24,232639
705,24,191812
706,24,162201
707,24,218939
708,24,183243
709,24,185444
710,24,255739
711,24,204000
712,24,180327
713,24,191152
714,24,271545
715,24,223533
716,24,187520
717,24,218939
718,24,252009
719,24,183100
720,24,202797
721,24,217183
722,24,169007
723,24,208514
724,24,200325
725,24,237302
726,24,177693
727,24,219278
728,25,200986
729,25,210435
730,25,214656
731,25,195864
732,25,204236
733,25,242400
734,25,231576
735,25,216017
736,25,207689
737,25,233579
738,25,215091
739,25,241353
740,25,232572
741,25,246716
742,25,234617
743,25,220384
744,25,231035
745,25,239981
746,25,175786
747,25,263235
748,25,244638
749,25,190310
750,25,244497
751,25,244280
752,25,205719
753,25,192555
754,25,195910
755,25,232076
756,25,251902
757,25,229220
758,25,219548
759,25,226250
760,25,244573
761,25,217941
762,25,248744
763,25,260804
764,25,213010
765,25,212666
766,25,189536
767,25,186505
768,26,231968
769,26,182047
770,26,239210
771,26,216055
772,26,203009
773,26,273054
774,26,200228
775,26,227753
776,26,212128
777,26,248965
778,26,201810
779,26,212816
780,26,196224
781,26,178841
782,26,247068
783,26,157923
784,26,225706
785,26,256515
786,26,205465
787,26,182939
788,26,220728
789,26,227439
790,26,221710
791,26,182635
792,26,222606
793,26,229426
794,26,227748
795,27,213854
796,27,212026
797,27,182662
798,27,181134
799,27,215697
800,27,195712
801,27,215641
802,27,227185
803,27,173243
804,27,180636
805,27,209180
806,27,184292
807,27,178441
808,27,208164
809,27,188242
810,27,191331
811,27,180226
812,27,186555
813,27,220145
814,27,206421
815,27,198152
816,27,209635
817,27,232641
818,27,209901
819,27,198478
820,28,233789
821,28,224740
822,28,211836
823,28,238287
824,28,189650
825,28,212038
826,28,225549
827,28,214471
828,28,238727
829,28,290662
830,28,214809
831,28,223347
832,28,242244
833,28,173438
834,28,199315
835,28,216333
836,28,220235
837,28,243507
838,28,282718
839,28,233760
840,28,232147
841,28,223801
842,28,213203
843,28,217076
844,28,224637
845,28,242383
846,28,223419
847,28,219110
848,28,227012
849,28,198343
850,28,192799
851,28,228054
852,28,250197
853,28,200209
854,28,199407
855,28,177469
856,28,216072
857,28,225791
858,29,181879
859,29,280298
860,29,229521
861,29,200426
862,29,186735
863,29,220110
864,29,175212
865,29,231619
866,29,250776
867,29,185760
868,29,195869
869,29,221919
870,29,211204
871,29,228668
872,29,213674
873,29,214700
874,29,219239
875,29,204567
876,29,196853
877,29,230107
878,29,204201
879,29,189107
880,29,204077
881,29,187611
882,29,256350
883,29,197359
884,30,240810
885,30,234158
886,30,211573
887,30,243744
888,30,239648
889,30,217677
890,30,161683
891,30,202868
892,30,234028
893,30,203546
894,30,207975
895,30,207997
896,30,233660
897,30,193799
898,31,254272
899,31,211928
900,31,269044
901,31,220617
902,31,257987
903,31,260670
904,31,209442
905,31,206370
906,31,207384
907,31,213582
908,31,256688
909,31,218492
910,31,242451
911,31,271520
912,31,257652
913,31,205695
914,31,213610
915,31,225995
916,31,238676
917,31,234834
918,31,250983
919,31,215371
920,31,223463
921,31,245183
922,31,250462
923,31,264215
924,31,230117
925,31,228461
926,31,236520
927,31,267047
928,31,259018
929,31,202577
930,31,237240
931,31,242656
932,31,212788
933,31,258149
934,31,197124
935,31,223301
936,31,275640
937,31,213548
938,32,212290
939,32,187170
940,32,252425
941,32,229817
942,32,236718
943,32,199984
944,32,243068
945,32,252667
946,32,226820
947,32,208863
948,32,238066
949,32,197813
950,32,213785
951,32,226894
952,32,193994
953,32,265599
954,32,275657
955,32,214457
956,32,211413
957,32,230011
958,33,264529
959,33,238862
960,33,219735
961,33,241905
962,33,272324
963,33,248084
964,33,222695
965,33,222777
966,33,219101
967,33,259428
968,33,207558
969,33,185360
970,33,196488
971,33,233386
972,33,227475
973,33,244226
974,33,229417
975,33,255546
976,33,312446
977,33,257907
978,33,268445
979,33,256932
980,33,267942
981,33,235346
982,33,243692
983,33,249525
984,33,213132
985,33,270722
986,33,259153
987,33,232036
988,33,204866
989,33,244430
990,33,189338
991,34,229440
992,34,252834
993,34,205689
994,34,248640
995,34,240049
996,34,263494
997,34,235568
998,34,230237
999,34,220880
1000,34,234909
1001,34,229783
1002,34,200560
1003,34,228756
1004,34,213693
1005,34,248773
1006,34,196252
1007,34,229349
1008,34,240012
1009,34,249706
1010,34,195344
1011,34,231215
1012,34,223264
1013,34,207977
1014,34,210121
1015,34,254761
1016,34,243943
1017,34,278657
1018,34,220085
1019,34,248804
1020,34,211980
1021,34,205069
1022,34,221300
1023,34,269766
1024,35,234740
1025,35,230412
1026,35,162399
1027,35,227980
1028,35,186724
1029,35,219666
1030,35,237976
1031,35,219463
1032,35,256831
1033,35,227304
1034,35,251106
1035,35,207324
1036,35,212134
1037,35,242401
1038,35,277997
1039,35,216151
1040,35,262607
1041,35,222458
1042,35,230039
1043,35,227403
1044,35,254517
1045,35,230057
1046,35,162445
1047,35,208271
1048,35,247419
1049,35,181253
1050,35,211054
1051,35,218682
1052,35,232226
1053,35,237047
1054,35,224810
1055,35,243382
1056,35,218396
1057,35,267862
1058,35,203489
1059,36,214034
1060,36,249497
1061,36,222908
1062,36,178026
1063,36,242962
1064,36,214739
1065,36,249602
1066,36,215606
1067,36,192184
1068,36,218366
1069,36,263745
1070,36,223293
1071,36,259483
1072,36,253731
1073,36,276335
1074,36,190040
1075,36,247798
1076,36,244516
1077,36,221733
1078,37,244302
1079,37,199988
1080,37,208550
1081,37,169491
1082,37,228176
1083,37,219271
1084,37,197887
1085,37,162129
1086,37,215454
1087,37,221165
1088,37,217222
1089,37,208758
1090,37,225190
1091,37,223778
1092,37,214808
1093,37,180614
1094,37,190042
1095,37,213896
1096,37,251777
1097,37,201320
1098,37,252900
1099,37,214617
1100,37,179671
1101,37,170110
1102,37,196825
1103,37,210776
1104,37,207014
1105,37,235802
1106,37,228371
1107,37,217896
1108,37,212142
1109,37,219401
1110,37,225151
1111,37,203918
1112,37,207053
1113,37,212287
1114,37,216033
1115,37,249525
1116,37,255784
1117,37,248265
1118,37,230902
1119,37,245403
1120,37,198985
1121,37,263785
1122,37,230332
1123,37,195717
1124,37,182074
1125,37,191081
